symbol,file,rows,start,end,missing_pct
BTC,data/market/btc_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ETH,data/market/eth_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
SOL,data/market/sol_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ADA,data/market/ada_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
AVAX,data/market/avax_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
DOT,data/market/dot_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
NEAR,data/market/near_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ATOM,data/market/atom_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
FTM,data/market/ftm_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
EGLD,data/market/egld_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
HBAR,data/market/hbar_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ICP,data/market/icp_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
APT,data/market/apt_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
SUI,data/market/sui_ohlcv.parquet,14604,2023-05-03T12:00:00+00:00,2024-12-31T23:00:00+00:00,0
ALGO,data/market/algo_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
FIL,data/market/fil_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
LINK,data/market/link_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
GRT,data/market/grt_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
AR,,0,,,100
RENDER,data/market/render_ohlcv.parquet,3808,2024-07-26T08:00:00+00:00,2024-12-31T23:00:00+00:00,0
LPT,data/market/lpt_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
OCEAN,data/market/ocean_ohlcv.parquet,13130,2023-01-01T00:00:00+00:00,2024-07-01T02:00:00+00:00,0
UNI,data/market/uni_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
AAVE,data/market/aave_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
MKR,data/market/mkr_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
CRV,data/market/crv_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
SNX,data/market/snx_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
COMP,data/market/comp_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
SUSHI,data/market/sushi_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
YFI,data/market/yfi_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
XMR,data/market/xmr_ohlcv.parquet,9962,2023-01-01T00:00:00+00:00,2024-02-20T02:00:00+00:00,0
ZEC,data/market/zec_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
BAND,data/market/band_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
API3,data/market/api3_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
TRB,data/market/trb_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
AXS,data/market/axs_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
SAND,data/market/sand_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
MANA,data/market/mana_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ENJ,data/market/enj_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
GALA,data/market/gala_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
SC,data/market/sc_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
STORJ,data/market/storj_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ENS,data/market/ens_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
LIT,data/market/lit_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
IMX,data/market/imx_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
OP,data/market/op_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
ARB,data/market/arb_ohlcv.parquet,15584,2023-03-23T15:00:00+00:00,2024-12-31T23:00:00+00:00,0
POL,data/market/pol_ohlcv.parquet,2630,2024-09-13T10:00:00+00:00,2024-12-31T23:00:00+00:00,0
LDO,data/market/ldo_ohlcv.parquet,17543,2023-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,0
RPL,data/market/rpl_ohlcv.parquet,17127,2023-01-18T08:00:00+00:00,2024-12-31T23:00:00+00:00,0
